,공사번호,블록,공정,블록타입,선종,BLK_WT,BLK_LNTH,BLK_BDTH,BLK_HGHT,PCGCODE,송선,SHOP,사내외,P_LT,LT
0,2431,131,조립,BLK,LNGC,290,15.6,18.6,7.3,EB1,C1E1,CAS,사내,100,12
1,2431,121,조립,BLK,LNGC,275,15.6,17.8,7.3,EB1,C1E1,CAS,사내,102,12
2,2431,132,조립,BLK,LNGC,176,15.6,24.9,4.3,EL1,SCP1,PAS,사내,64,19
3,2431,801,조립,BLK,LNGC,222,12.6,19.3,3.2,FB1,C1S4,CAS,사내,87,17
4,2431,832,조립,BLK,LNGC,268,19.2,18.9,7.9,FL1,SCE1,GBS,사내,87,11
5,2431,822,조립,BLK,LNGC,310,19.2,20.7,7.9,FL1,SCE1,GBS,사내,84,13
6,2431,105,조립,BLK,LNGC,271,14.1,14.4,8.1,AL4,C1M0,GBS,사내,86,18
7,2431,111,조립,BLK,LNGC,275,18.1,13.4,7.3,EB1,C1S0,CAS,사내,78,24
8,2431,182,조립,BLK,LNGC,220,15.1,16.4,4.3,AL3,C5S3,CAS,사내,74,14
9,2431,282,조립,BLK,LNGC,195,17.4,10.3,7.4,CS4,C1E1,GBS,사내,75,14
10,2431,292,조립,BLK,LNGC,195,17.4,10.3,7.4,CS4,C1E1,GBS,사내,75,26
11,2431,221,조립,BLK,LNGC,254,18,16.6,3.2,CB2,SZE2,PAS,사내,60,30
12,2431,281,조립,BLK,LNGC,207,18,8.3,7.4,CS4,C1E1,GBS,사내,65,18
13,2431,291,조립,BLK,LNGC,207,18,8.3,7.4,CS4,C1E1,GBS,사내,66,15
14,2431,142,조립,BLK,LNGC,195,11.6,25.1,4.3,EL1,C1S2,CAS,사내,71,15
15,2431,152,조립,BLK,LNGC,187,11.6,24.9,4.3,EL1,C1S2,CAS,사내,67,20
16,2431,162,조립,BLK,LNGC,278,15.3,25.1,4.3,EL1,S2M2,GBS,사내,84,19
17,2431,110,조립,BLK,LNGC,131,11.8,16.7,7.3,AL2,C1S1,CAS,사내,69,21
18,2431,183,조립,BLK,LNGC,259,19.9,15.5,8.4,AL1,C5S3,CAS,사내,96,27
19,2431,172,조립,BLK,LNGC,269,15.3,24.9,4.3,EL1,S2M2,GBS,사내,82,11
20,2431,802,조립,BLK,LNGC,92,6.5,10.9,5.4,FB2,C5E2,CAS,사내,60,19
21,2431,141,조립,BLK,LNGC,153,18.1,16.1,6.1,EB1,C1S1,CAS,사내,78,34
22,2431,810,조립,BLK,LNGC,211,15.7,17.1,10.5,FB2,C1S3,GBS,사내,81,27
23,2431,242,조립,BLK,LNGC,181,17.4,11.5,3.2,CB2,C1E1,GBS,사내,58,21
24,2431,241,조립,BLK,LNGC,246,18,16.5,3.2,CB2,SCE1,PAS,사내,53,18
25,2431,163,조립,BLK,LNGC,137,15.1,17.5,5.3,AL1,C1E1,CAS,사내,57,10
26,2431,823,조립,BLK,LNGC,213,19.2,22.8,7.9,FL1,SCE1,GBS,사내,70,15
27,2431,251,조립,BLK,LNGC,236,18,16.3,3.2,CB2,SCE2,PAS,사내,55,17
28,2431,193,조립,BLK,LNGC,259,19.9,15.5,8.4,AL1,C5S3,CAS,사내,91,20
29,2431,269,조립,BLK,LNGC,207,15.1,9.3,7.4,CS4,S3R3,GBS,사내,67,21
30,2431,279,조립,BLK,LNGC,207,15.1,9.3,7.4,CS4,S3R3,GBS,사내,67,22
31,2431,173,조립,BLK,LNGC,137,15.1,17.5,5.3,AL1,C1E1,CAS,사내,56,6
32,2431,223,조립,BLK,LNGC,403,17.5,27.6,7.4,CB1,T1E4,TBA,사내,56,18
33,2431,233,조립,BLK,LNGC,321,17.5,22.4,7.4,CB1,C1E4,CAS,사내,56,15
34,2431,833,조립,BLK,LNGC,182,19.2,21,7.9,FL1,C1E6,GBS,사내,67,13
35,2431,252,조립,BLK,LNGC,163,17.4,11.3,3.2,CB2,C1E2,GBS,사내,54,15
36,2431,239,조립,BLK,LNGC,192,15.1,13.2,3.2,CB2,SZH2,PAS,사내,45,20
37,2431,222,조립,BLK,LNGC,373,16.8,27.6,7.4,CB2,C1S0,GBS,사내,76,18
38,2431,232,조립,BLK,LNGC,301,16.8,22.4,7.4,CB2,T1E4,TBA,사내,76,11
39,2431,235,조립,BLK,LNGC,296,16.8,22.4,7.4,CB1,SCE4,GBS,사내,82,15
40,2431,225,조립,BLK,LNGC,368,16.8,27.6,7.4,CB1,SCE4,GBS,사내,80,14
41,2431,226,조립,BLK,LNGC,354,15.1,27.6,7.4,CB1,C1E4,GBS,사내,76,12
42,2431,236,조립,BLK,LNGC,284,15.1,22.4,7.4,CB1,C5E4,CAS,사내,78,15
43,2431,135,조립,BLK,LNGC,179,20,24.9,4.4,EL1,S2M2,GBS,사내,54,14
44,2431,125,조립,BLK,LNGC,190,20,25.1,4.4,EL1,S2M2,GBS,사내,54,16
45,2431,642,조립,BLK,LNGC,280,18.6,8.1,8.4,CS2,C1S2,GBS,사내,54,13
46,2431,652,조립,BLK,LNGC,280,18.6,8.1,8.4,CS2,C5E2,CAS,사내,53,8
47,2431,821,조립,BLK,LNGC,84,12.6,13.4,4.1,FL1,C1R1,CAS,사내,35,10
48,2431,831,조립,BLK,LNGC,87,12.6,13.6,4.1,FL1,C1R1,CAS,사내,35,9
49,2431,234,조립,BLK,LNGC,309,18,22.4,7.4,CB1,SZE2,PAS,사내,55,18
50,2431,224,조립,BLK,LNGC,389,18,27.6,7.4,CB1,SCE7,PAS,사내,55,20
51,2431,237,조립,BLK,LNGC,309,18,22.4,7.4,CB1,SZE2,PAS,사내,55,11
52,2431,227,조립,BLK,LNGC,389,18,27.6,7.4,CB1,C1E7,CAS,사내,55,12
53,2431,238,조립,BLK,LNGC,326,16.8,22.4,7.4,CB1,SZE2,PAS,사내,55,11
54,2431,228,조립,BLK,LNGC,402,16.8,27.6,7.4,CB1,C1E7,CAS,사내,55,16
55,2431,824,조립,BLK,LNGC,101,17.9,23.1,4,FL1,C1S5,CAS,사내,34,11
56,2431,622,조립,BLK,LNGC,179,16.8,16.6,3.6,CS1,C1E2,CAS,사내,42,15
57,2431,632,조립,BLK,LNGC,179,16.8,16.6,3.6,CS1,C1E2,CAS,사내,42,19
58,2431,641,조립,BLK,LNGC,262,19.5,16.6,8,CS2,C1S4,GBS,사내,60,11
59,2431,643,조립,BLK,LNGC,67,18.6,8.6,10.6,CS2,C1E2,OFD,사내,40,13
60,2431,651,조립,BLK,LNGC,260,19.5,16.6,8,CS2,C5S4,CAS,사내,56,9
61,2431,653,조립,BLK,LNGC,67,18.6,8.6,10.6,CS2,C5E2,OFD,사내,41,13
62,2431,623,조립,BLK,LNGC,165,14.7,16.6,3.6,CS1,C1E2,CAS,사내,41,15
63,2431,633,조립,BLK,LNGC,165,14.7,16.6,3.6,CS1,C1E2,CAS,사내,41,15
64,2431,843,조립,BLK,LNGC,107,11.8,14.2,7.9,FL1,S2M2,3DS,사내,54,14
65,2431,853,조립,BLK,LNGC,101,11.8,12.3,7.9,FL1,S2M2,3DS,사내,54,15
66,2431,153,조립,BRC,LNGC,120,21.3,12.5,5.3,ED1,C1S2,GBS,사내,59,7
67,2431,431,조립,BLK,LNGC,199,17.4,28.8,2.3,CT1,C1E1,CAS,사내,41,12
68,2431,844,조립,BLK,LNGC,85,17,16.6,4,FL1,S1R1,APD,사내,43,11
69,2431,634,조립,BLK,LNGC,175,16.2,16.6,3.6,CS1,C1E2,CAS,사내,41,12
70,2431,624,조립,BLK,LNGC,174,16.2,16.6,3.6,CS1,C1E2,CAS,사내,41,14
71,2431,854,조립,BLK,LNGC,71,16.9,14.7,4,FL1,S1R1,APD,사내,46,13
72,2431,422,조립,BLK,LNGC,284,21.3,28.8,2.8,CT1,SZH4,PAS,사내,41,13
73,2431,432,조립,BLK,LNGC,296,21.5,28.8,2.8,CT1,SZE2,PAS,사내,41,9
